交易类型,次数
B轮融资,152
A轮融资,144
融资,142
天使轮融资,74
Pre-A轮融资,67
C轮融资,66
新一轮融资,50
A+轮融资,42
战略投资,40
D轮融资,36
B+轮融资,32
投资,27
种子轮融资,22
战略融资,22
新一轮,16
A轮,16
C轮,14
A 轮融资,14
首轮融资,11
两轮融资,11
C2轮融资,11
B轮,11
E轮融资,10
C1轮融资,9
C 轮融资,9
天使轮投资,8
Pre-A 轮融资,8
F轮融资,8
B 轮融资,8
A轮投资,7
天使轮,6
天使投资,6
D2轮融资,6
D 轮融资,6
B轮系列融资,6
B2轮融资,6
B1轮融资,6
新融资,5
一轮,5
pre-A轮融资,5
Pre-B轮融资,5
E轮,5
A+轮,5
4轮融资,5
天使+轮融资,4
D1轮融资,4
注资,3
战略轮,3
五轮融资,3
两轮,3
Pre-A轮投资,3
Pre-A轮,3
F 轮融资,3
C2轮,3
B轮战略融资,3
B3轮,3
B+轮,3
3轮融资,3
高额融资,2
首轮,2
风险投资,2
股权融资,2
新一轮战略融资,2
战略轮融资,2
战略轮投资,2
战略注资,2
战略,2
天使+轮投资,2
多轮融资,2
多轮投资,2
增资,2
四轮融资,2
信贷融资,2
两笔融资,2
三轮融资,2
一轮融资,2
pre-A 轮融资,2
PreA轮融资,2
Pre-IPO融资,2
Pre-IPO投资,2
Pre-C轮融资,2
Pre-C轮战略投资,2
Pre B轮融资,2
Pre A轮融资,2
H轮融资,2
G轮融资,2
E3轮融资,2
E 轮融资,2
D1轮融资贷款,2
D+轮融资,2
C轮投资,2
C3轮融资,2
C1 轮融资,2
C1,2
C++轮融资,2
B轮投资,2
B1 轮融资,2
B+轮投资,2
B+轮战略融资,2
B 轮,2
A＋轮融资,2
A轮融,2
A+轮投资,2
A+轮战略投资,2
A+ 轮融资,2
A,2
Ａ轮,1
首轮投资,1
首笔,1
预亏,1
资本融资,1
资,1
规,1
融资交易,1
融,1
股权投资,1
股,1
翻,1
筹资,1
第四轮,1
第二轮融资,1
第二轮外部融资,1
第二笔,1
第三轮融资,1
第三次融资,1
第一轮投资,1
第一轮,1
第 5 轮融资,1
种子轮,1
私募股权投资,1
独家投资,1
每轮融资,1
最新一轮融资,1
早期投资,1
新轮融资,1
新股,1
新,1
数千,1
投融资,1
战略轮系列融资,1
战略投资融资,1
战略投融资,1
战略性股权投资,1
已融资,1
局B轮融资,1
天使两轮,1
天使Plus轮融资,1
天使,1
大额融资,1
多轮战略融资,1
外部融资,1
四轮投资,1
合,1
前A轮融资,1
八轮,1
元Pre-A轮融,1
三轮机构化募资,1
三轮,1
三次融资,1
三,1
七轮融资,1
preA轮融资,1
pre-A轮投资,1
b回合,1
Pre−A轮融资,1
Pre—A轮融资,1
PreA轮,1
Pre-A系列轮融资,1
Pre-A3轮,1
Pre-A2轮,1
Pre-A1轮,1
Pre-A+轮融资,1
Pre-A,1
Pre- A轮融资,1
F轮投资,1
E 轮股权融资,1
D轮股权融资,1
D轮私募融资,1
D轮投资,1
D轮投,1
D轮战略融资,1
D轮,1
D+ 轮融资,1
C＋轮融资,1
C轮 融资,1
C系列,1
C2 轮融资,1
C2 轮,1
C1轮,1
C+轮融资,1
B＋轮融资,1
B轮股权融资,1
B轮增资,1
B3轮战略融资,1
B3,1
B2,1
B,1
AB轮融资,1
A+轮战略融资,1
A+ 轮投资,1
8,1
6轮融资,1
3轮,1
222,1
+轮融资,1
